Fri,Mon,Sat,Thu,Tue,Wed,building,call,name,number,room
,11:40am-12:45pm,,11:40am-12:45pm,11:40am-12:45pm,11:40am-12:45pm,Kent Hall,73697,SECOND YEAR CHINESE N II Section 002,Chinese UN2202,522C
,2:40pm-3:45pm,,2:40pm-3:45pm,2:40pm-3:45pm,2:40pm-3:45pm,Kent Hall,76147,SECOND YEAR CHINESE N II Section 003,Chinese UN2202,522C
,6:10pm-7:15pm,,6:10pm-7:15pm,6:10pm-7:15pm,6:10pm-7:15pm,Kent Hall,76549,SECOND YEAR CHINESE N II Section 004,Chinese UN2202,405
,10:10am-11:15am,,10:10am-11:15am,10:10am-11:15am,10:10am-11:15am,Kent Hall,97896,SECOND YEAR CHINESE N II Section 005,Chinese UN2202,522B
,4:10pm-5:15pm,,4:10pm-5:15pm,4:10pm-5:15pm,4:10pm-5:15pm,Kent Hall,83530,SECOND YEAR CHINESE N II Section 006,Chinese UN2202,522B
,10:10am-11:25am,,,,10:10am-11:25am,Hamilton Hall,97496,SECOND YEAR CHINESE W II Section 001,Chinese UN2222,317
,8:50am-9:55am,,8:50am-9:55am,8:50am-9:55am,8:50am-9:55am,Kent Hall,12948,THIRD YEAR CHINESE N II Section 001,Chinese UN3004,405
,1:10pm-2:15pm,,1:10pm-2:15pm,1:10pm-2:15pm,1:10pm-2:15pm,Kent Hall,13448,THIRD YEAR CHINESE N II Section 002,Chinese UN3004,522B
,11:40am-12:45pm,,11:40am-12:45pm,11:40am-12:45pm,11:40am-12:45pm,Kent Hall,16148,THIRD YEAR CHINESE N II Section 004,Chinese UN3004,424
,4:10pm-5:15pm,,4:10pm-5:15pm,4:10pm-5:15pm,4:10pm-5:15pm,Kent Hall,16499,THIRD YEAR CHINESE N II Section 005,Chinese UN3004,522D
10:10am-11:15am,10:10am-11:15am,,,,10:10am-11:15am,Kent Hall,77282,THIRD YEAR CHINESE W II Section 001,Chinese UN3006,405
,10:00am-10:50am,,10:00am-10:50am,10:00am-10:50am,10:00am-10:50am,KRAFT CENTER,73340,BUSINESS CHINESE II Section 001,Chinese UN3013,4C
,10:00am-10:50am,,10:00am-10:50am,10:00am-10:50am,10:00am-10:50am,Kent Hall,65948,FOURTH YEAR CHINESE II Section 001,Chinese GU4016,423
,6:10pm-7:25pm,,6:10pm-7:25pm,,6:10pm-7:25pm,Kent Hall,60947,FOURTH YEAR CHINESE II Section 002,Chinese GU4016,423
11:40am-12:55pm,11:40am-12:55pm,,,,11:40am-12:55pm,KRAFT CENTER,62747,FOURTH YEAR CHINESE ADV II Section 001,Chinese GU4018,4A
,,,10:10am-11:25am,10:10am-11:25am,,Kent Hall,67849,HISTORY OF CHINESE LANGUAGE Section 001,Chinese GU4019,405
,3:10pm-4:00pm,,,,3:10pm-4:00pm,Kent Hall,72996,INTRO TO CLASSICAL CHINESE II Section 001,Chinese GU4302,522B
,10:10am-11:25am,,,,10:10am-11:25am,Hamilton Hall,20765,READINGS IN CLASSICAL CHINESE Section 001,Chinese GU4508,609
,,,10:10am-11:25am,10:10am-11:25am,,MACY HALL,78047,FIFTH YEAR CHINESE II Section 001,Chinese GU4518,262
,2:10pm-3:00pm,,2:10pm-3:00pm,,2:10pm-3:00pm,Kent Hall,81347,CHINESE LINGUISTICS & PEDAGOGY Section 001,Chinese GR5001,522A
,4:10pm-6:00pm,,,,,Milbank Hall (Barnard),9502,SELECT READ EARLY CHINESE TEXT Section 001,Chinese GR5013,318
,,,,,,,75134,GEOTECHNICAL/STRUCTURAL TRACK Section 001,Civil Engineering E0001,
,,,,,,,74807,CONSTRUCTION TRACK Section 001,Civil Engineering E0002,
,,,,,,,24297,WATER RES/ENVIRONMENTAL TRACK Section 001,Civil Engineering E0003,
,2:40pm-3:55pm,,,,2:40pm-3:55pm,Hamilton Hall,16216,THE ART OF STRUCTURAL DESIGN Section 001,Civil Engineering E3000,517
,,,,4:10pm-6:40pm,,Schapiro [SCEP],15028,URBAN INFRASTRUCTURE SYSTEMS Section 001,Civil Engineering E3004,415
,2:40pm-3:55pm,,,,2:40pm-3:55pm,Seeley W. Mudd Building,67717,STRUCTURAL ANALYSIS Section 001,Civil Engineering E3121,825
,,,10:10am-11:25am,10:10am-11:25am,,Seeley W. Mudd Building,26580,STRUCTURAL DESIGN Section 001,Civil Engineering E3125,834
,,,,1:10pm-3:40pm,,Seeley W. Mudd Building,28760,COMPUTER-AIDED STRUCTRL DESIGN Section 001,Civil Engineering E3126,639
,10:00am-12:25pm,,,,,Seeley W. Mudd Building,74924,DESIGN PROJECTS Section 001,Civil Engineering E3128,644
,1:10pm-2:25pm,,,,1:10pm-2:25pm,Engineering Terrace,60850,SOIL MECHANICS Section 001,Civil Engineering E3141,161
,,,,,,,26321,IND STUDIES-CIVIL ENGIN-JUNIOR Section 001,Civil Engineering E3303,
,,,,,,,77329,IND STUDIES-CIVIL ENGIN-JUNIOR Section 002,Civil Engineering E3303,
,,,,,,,28713,IND STUDIES-CIVIL ENGIN-JUNIOR Section 003,Civil Engineering E3303,
,,,,,,,22551,IND STUDIES-CIVIL ENGIN-JUNIOR Section 004,Civil Engineering E3303,
,,,,,,,73054,IND STUDIES-CIVIL ENGIN-JUNIOR Section 005,Civil Engineering E3303,
,,,,,,,29213,IND STUDIES-CIVIL ENGIN-JUNIOR Section 006,Civil Engineering E3303,
,,,,,,,64911,IND STUDIES-CIVIL ENGIN-JUNIOR Section 007,Civil Engineering E3303,
,,,,,,,11022,IND STUDIES-CIVIL ENGIN-JUNIOR Section 008,Civil Engineering E3303,
,,,,,,,70920,IND STUDIES-CIVIL ENGIN-JUNIOR Section 009,Civil Engineering E3303,
,,,,,,,70138,IND STUDIES-CIVIL ENGIN-JUNIOR Section 010,Civil Engineering E3303,
,,,,,,,67351,IND STUDIES-CIVIL ENGIN-JUNIOR Section 011,Civil Engineering E3303,
,,,,,,,68149,IND STUDIES-CIVIL ENGIN-JUNIOR Section 012,Civil Engineering E3303,
,,,,,,,70428,IND STUDIES-CIVIL ENGIN-JUNIOR Section 013,Civil Engineering E3303,
,,,,,,,65489,IND STUDIES-CIVIL ENGIN-JUNIOR Section 014,Civil Engineering E3303,
,,,,,,,71342,IND STUDIES-CIVIL ENGIN-JUNIOR Section 015,Civil Engineering E3303,
,,,,,,,77081,IND STUDIES-CIVIL ENGIN-JUNIOR Section 016,Civil Engineering E3303,
,,,,,,,92648,IND STUDIES-CIVIL ENGIN-JUNIOR Section 017,Civil Engineering E3303,
,,,,,,,60725,IND STUDIES-CIVIL ENGIN-SENIOR Section 001,Civil Engineering E3304,
,,,,,,,29555,IND STUDIES-CIVIL ENGIN-SENIOR Section 002,Civil Engineering E3304,
,,,,,,,10448,IND STUDIES-CIVIL ENGIN-SENIOR Section 003,Civil Engineering E3304,
,,,,,,,63735,IND STUDIES-CIVIL ENGIN-SENIOR Section 004,Civil Engineering E3304,
,,,,,,,19586,IND STUDIES-CIVIL ENGIN-SENIOR Section 005,Civil Engineering E3304,
,,,,,,,71372,IND STUDIES-CIVIL ENGIN-SENIOR Section 006,Civil Engineering E3304,
,,,,,,,70013,IND STUDIES-CIVIL ENGIN-SENIOR Section 007,Civil Engineering E3304,
,,,,,,,74058,IND STUDIES-CIVIL ENGIN-SENIOR Section 008,Civil Engineering E3304,
,,,,,,,71345,IND STUDIES-CIVIL ENGIN-SENIOR Section 009,Civil Engineering E3304,
,,,,,,,60750,IND STUDIES-CIVIL ENGIN-SENIOR Section 010,Civil Engineering E3304,
,,,,,,,66335,IND STUDIES-CIVIL ENGIN-SENIOR Section 011,Civil Engineering E3304,
,,,,,,,22491,IND STUDIES-CIVIL ENGIN-SENIOR Section 012,Civil Engineering E3304,
,,,,,,,60844,IND STUDIES-CIVIL ENGIN-SENIOR Section 013,Civil Engineering E3304,
,,,,,,,14380,IND STUDIES-CIVIL ENGIN-SENIOR Section 014,Civil Engineering E3304,
,,,,,,,21457,IND STUDIES-CIVIL ENGIN-SENIOR Section 015,Civil Engineering E3304,
,,,,,,,11064,IND STUDIES-CIVIL ENGIN-SENIOR Section 016,Civil Engineering E3304,
,,,,,,,92998,IND STUDIES-CIVIL ENGIN-SENIOR Section 017,Civil Engineering E3304,
,7:00pm-9:30pm,,,,,Seeley W. Mudd Building,16374,TRANSPORTATION ENGINEERING Section 001,Civil Engineering E4010,627
,,,,7:10pm-9:40pm,,Hamilton Hall,63791,BRIDGE DESIGN & MANAGEMENT Section 001,Civil Engineering E4022,303
,4:10pm-6:40pm,,,,,Seeley W. Mudd Building,73265,EARTHQUAKE & WIND ENGINEERING Section 001,Civil Engineering E4100,825
,,,7:00pm-9:30pm,,,Seeley W. Mudd Building,10201,MANAGING ENG & CONST PROCESSES Section 001,Civil Engineering E4129,627
,,,,,7:00pm-9:30pm,Hamilton Hall,72343,PRIN OF CONSTRUCTN TECHNIQUES Section 001,Civil Engineering E4131,303
,4:10pm-6:40pm,,,,,Seeley W. Mudd Building,20402,PREV&RESOL OF CONSTR DISPUTES Section 001,Civil Engineering E4132,644
,,,7:00pm-9:30pm,,,Hamilton Hall,87100,CAPITAL FACILITY PLANNING/FIN Section 001,Civil Engineering E4133,303
,,,,6:50pm-9:35pm,,JEROME L GRE,27067,CONSTRUCTION INDUSTRY LAW Section 001,Civil Engineering E4134,103
,,,4:10pm-6:40pm,,,Northwest Corner Building,27699,STRATEGIC MGT-DESIGN & CONSTR Section 001,Civil Engineering E4135,602
,,,,4:10pm-6:40pm,,Seeley W. Mudd Building,69171,ENTREPRENEURSHP-CIV ENG/CONSTR Section 001,Civil Engineering E4136,227
,7:00pm-9:30pm,,,,,Hamilton Hall,64829,MANAGE CIV INSTRASTUCTURE SYST Section 001,Civil Engineering E4137,303
,,,,7:00pm-9:30pm,,Seeley W. Mudd Building,11285,REAL ESTATE FIN/CONST MANAG Section 001,Civil Engineering E4138,627
,,,,,4:10pm-6:40pm,Pupin Laboratories,18197,THRY/PRACT OF VIRTAL DSGN CONS Section 001,Civil Engineering E4139,222
,,,,4:10pm-6:40pm,,Pupin Laboratories,18001,STRUCTURAL FAILURES Section 001,Civil Engineering E4212,424
,,,7:00pm-9:30pm,,,Seeley W. Mudd Building,10806,ADV DESIGN OF STEEL STRUCTURES Section 001,Civil Engineering E4226,1127
,,,,,4:10pm-6:40pm,Hamilton Hall,28094,DESIGN OF LARGE SCALE BUILDINGS Section 001,Civil Engineering E4234,503
4:10pm-6:40pm,,,,,,Hamilton Hall,27040,DESIGN-PRESTRESS CONCRET STRUC Section 001,Civil Engineering E4236,303
,,,4:10pm-6:40pm,,,Seeley W. Mudd Building,74265,GEOTECHNICAL EARTHQUAKE ENGIN Section 001,Civil Engineering E4242,227
,,,,,,,24483,FIELDWORK Section 001,Civil Engineering E4999,
,,,,,,,77220,EXPERIMENTAL SOIL MECHANICS Section 001,Civil Engineering E6248,
,,,,,,,61596,CIVIL ENGINEERING RESEARCH Section 001,Civil Engineering E9101,
,,,,,,,72139,CIVIL ENGINEERING RESEARCH Section 002,Civil Engineering E9101,
,,,,,,,73817,CIVIL ENGINEERING RESEARCH Section 003,Civil Engineering E9101,
,,,,,,,64466,CIVIL ENGINEERING RESEARCH Section 004,Civil Engineering E9101,
,,,,,,,64491,CIVIL ENGINEERING RESEARCH Section 005,Civil Engineering E9101,
,,,,,,,24697,CIVIL ENGINEERING RESEARCH Section 006,Civil Engineering E9101,
,,,,,,,27802,CIVIL ENGINEERING RESEARCH Section 007,Civil Engineering E9101,
,,,,,,,71475,CIVIL ENGINEERING RESEARCH Section 008,Civil Engineering E9101,
,,,,,,,29043,CIVIL ENGINEERING RESEARCH Section 009,Civil Engineering E9101,
,,,,,,,63110,CIVIL ENGINEERING RESEARCH Section 010,Civil Engineering E9101,
,,,,,,,19041,CIVIL ENGINEERING RESEARCH Section 011,Civil Engineering E9101,
,,,,,,,18344,CIVIL ENGINEERING RESEARCH Section 012,Civil Engineering E9101,
,,,,,,,76795,CIVIL ENGINEERING RESEARCH Section 013,Civil Engineering E9101,
,,,,,,,20275,CIVIL ENGINEERING RESEARCH Section 014,Civil Engineering E9101,
,,,,,,,76249,CIVIL ENGINEERING RESEARCH Section 015,Civil Engineering E9101,
,,,,,,,74687,CIVIL ENGINEERING RESEARCH Section 017,Civil Engineering E9101,
,,,,,,,16235,CIVIL ENGINEERING RESEARCH Section 018,Civil Engineering E9101,
,,,,,,,81898,CIVIL ENGINEERING RESEARCH Section 019,Civil Engineering E9101,
,,,,,,,67952,CIVIL ENGINEERING RESEARCH Section 020,Civil Engineering E9101,
,,,,2:30pm-3:30pm,,Pupin Laboratories,73480,DEPARTMENTAL SEMINAR Section 001,Civil Engineering E9500,414
,,,,,,,27160,DOCTORAL RESEARCH INSTRUCTION Section 001,Civil Engineering E9800,
,,,,,,,66328,DOCTORAL RESEARCH INSTRUCTION Section 002,Civil Engineering E9800,
,,,,,,,10893,DOCTORAL RESEARCH INSTRUCTION Section 003,Civil Engineering E9800,
,,,,,,,75736,DOCTORAL RESEARCH INSTRUCTION Section 004,Civil Engineering E9800,
,,,,,,,22455,DOCTORAL RESEARCH INSTRUCTION Section 005,Civil Engineering E9800,
,,,,,,,63855,DOCTORAL RESEARCH INSTRUCTION Section 006,Civil Engineering E9800,
,,,,,,,74422,DOCTORAL RESEARCH INSTRUCTION Section 007,Civil Engineering E9800,
,,,,,,,73247,DOCTORAL RESEARCH INSTRUCTION Section 008,Civil Engineering E9800,
,,,,,,,28545,DOCTORAL RESEARCH INSTRUCTION Section 009,Civil Engineering E9800,
,,,,,,,67612,DOCTORAL RESEARCH INSTRUCTION Section 010,Civil Engineering E9800,
,,,,,,,11523,DOCTORAL RESEARCH INSTRUCTION Section 011,Civil Engineering E9800,
,,,,,,,76200,DOCTORAL RESEARCH INSTRUCTION Section 012,Civil Engineering E9800,
,,,,,,,16230,DOCTORAL RESEARCH INSTRUCTION Section 013,Civil Engineering E9800,
,,,,,,,27043,DOCTORAL RESEARCH INSTRUCTION Section 014,Civil Engineering E9800,
,,,,,,,19598,DOCTORAL RESEARCH INSTRUCTION Section 015,Civil Engineering E9800,
,,,,,,,29759,DOCTORAL RESEARCH INSTRUCTION Section 016,Civil Engineering E9800,
,,,,,,,62315,DOCTORAL DISSERTATION Section 001,Civil Engineering E9900,
,,,,,,,70242,DOCTORAL DISSERTATION Section 002,Civil Engineering E9900,
,,,,,,,27078,DOCTORAL DISSERTATION Section 003,Civil Engineering E9900,
,,,,,,,13700,DOCTORAL DISSERTATION Section 004,Civil Engineering E9900,
,,,,,,,77120,DOCTORAL DISSERTATION Section 005,Civil Engineering E9900,
,,,,,,,13703,DOCTORAL DISSERTATION Section 006,Civil Engineering E9900,
,,,,,,,24228,DOCTORAL DISSERTATION Section 007,Civil Engineering E9900,
,,,,,,,75416,DOCTORAL DISSERTATION Section 008,Civil Engineering E9900,
,,,,,,,22652,DOCTORAL DISSERTATION Section 009,Civil Engineering E9900,
,,,,,,,64255,DOCTORAL DISSERTATION Section 010,Civil Engineering E9900,
,,,,,,,21177,DOCTORAL DISSERTATION Section 011,Civil Engineering E9900,
,,,,,,,23901,DOCTORAL DISSERTATION Section 012,Civil Engineering E9900,
,,,,,,,17719,DOCTORAL DISSERTATION Section 013,Civil Engineering E9900,
,,,,,,,15413,DOCTORAL DISSERTATION Section 014,Civil Engineering E9900,
,,,,,,,11805,DOCTORAL DISSERTATION Section 015,Civil Engineering E9900,
,,,,,,,29558,DOCTORAL DISSERTATION Section 016,Civil Engineering E9900,
,2:40pm-3:55pm,,,,2:40pm-3:55pm,Seeley W. Mudd Building,20696,HYDROSYSTEMS ENGINEERING Section 001,Civil Engineering and Earth and Environmental Engineering E3250,327
,11:40am-12:55pm,,,,11:40am-12:55pm,Seeley W. Mudd Building,17305,ENVIR CONTR/POLLUTN REDUCT SYS Section 001,Civil Engineering and Earth and Environmental Engineering E3255,627
,,,,,7:00pm-9:30pm,Seeley W. Mudd Building,61056,ENGINEER FOR DEVP COMMUNITIES Section 001,Civil Engineering and Earth and Environmental Engineering E3260,327
,1:10pm-2:25pm,,,,1:10pm-2:25pm,Hamilton Hall,11247,WORLDS OF ALEXANDER THE GREAT Section 001,Classical Civilization UN3059,702
9:10am-10:25am,,,,,,Hamilton Hall,61304,WORLDS OF ALEXANDER THE GREAT Section 002,Classical Civilization UN3059,309
,,,10:10am-11:25am,10:10am-11:25am,,Milbank Hall (Barnard),9277,CLASSICS AND FILM Section 001,Classical Civilization UN3230,207
,6:10pm-8:00pm,,,,,Milbank Hall (Barnard),8855,ARCHAEOLOGY SOUTHERN LEVANT Section 001,Classical Civilization UN3992,214
,,,2:40pm-3:55pm,2:40pm-3:55pm,,Diana Center,8631,GENDER/SEXUALITY IN ANC GREECE Section 001,Classical Civilization GU4110,LL104
,11:40am-12:55pm,,,,11:40am-12:55pm,Milbank Hall (Barnard),1333,EGYPT IN THE CLASSICAL WORLD Section 001,Classical Civilization GU4411,202
,1:10pm-2:25pm,,,,1:10pm-2:25pm,Hamilton Hall,81398,WORLDS OF ALEXANDER THE GREAT Section 001,Classical Civilization GR6059,702
,,,,,12:10pm-2:00pm,RM Butler Library,86782,BOOK HISTORY&THE CLASSICS Section 001,Classical Literature UN3125,CHANG
,,,,,,,18578,DIRECTED READINGS Section 001,Classical Philology GU4901,
,,,,,,,76482,DIRECTED READINGS Section 002,Classical Philology GU4901,
,,,,,,,24035,DIRECTED READINGS Section 003,Classical Philology GU4901,
,,,,,,,19369,DIRECTED READINGS Section 004,Classical Philology GU4901,
,,,,,,,13044,DIRECTED READINGS Section 005,Classical Philology GU4901,
,,,,,,,29308,DIRECTED READINGS Section 006,Classical Philology GU4901,
,,,,,,,27390,DIRECTED READINGS Section 007,Classical Philology GU4901,
,,,,,,,14616,DIRECTED READINGS Section 008,Classical Philology GU4901,
,,,,,,,73214,DIRECTED READINGS Section 009,Classical Philology GU4901,
,,,,,,,10067,DIRECTED READINGS Section 010,Classical Philology GU4901,
,,,,,,,67812,DIRECTED READINGS Section 011,Classical Philology GU4901,
,,,,,,,69683,MA THESIS Section 001,Classical Philology GU4915,
,,,,,4:10pm-6:00pm,Hamilton Hall,72232,THESSALONIKI DOWN THE AGES Section 001,Classics: Modern Greek UN3567,609
,12:10pm-2:00pm,,,,,Sherman Fairchild Life Sciences Building,92847,MA SEMINAR IN GLOBAL THOUGHT II Section 001,Committee on Global Thought GR6101,601B
,,,,,,,76922,GLOBAL CONSTITUTIONALISM Section 001,Committee on Global Thought 86546,
,,,,12:10pm-2:00pm,,Schapiro [SCEP],62053,GLOBAL & GOVERNANCE IN DISORDERED WORLD Section 001,Committee on Global Thought GR6730,415
,,,,,,,15896,INDS APPROACHES GLOBAL THOUGHT Section 001,Committee on Global Thought GR9001,
,,,6:10pm-8:00pm,,,Hamilton Hall,94694,FROM INFORMATION TO INSIGHT Section 001,Communication PS5014,503
,,,,,2:10pm-4:00pm,Lewisohn Hall,25029,NAVIGATING/DIGITAL FRONTIER Section 001,Communication PS5018,212A
,,,,,4:10pm-6:00pm,Lewisohn Hall,12596,NAVIGATING/DIGITAL FRONTIER Section 002,Communication PS5018,212A
10:10am-2:00pm,,,,,,Lewisohn Hall,60829,STRATEGIC STORYTELLER Section 001,Communication PS5020,308A
,10:10am-12:00pm,,,,,Grace Dodge Hall (TC),67194,PRACTICE SEMINAR Section 001,Communication PS5040,535
,6:10pm-8:00pm,,,,,Lewisohn Hall,69258,PRACTICE SEMINAR Section 002,Communication PS5040,212A
,,,,10:10am-12:00pm,,,90798,BATTLE OF THE MIND Section D01,Communication PS5165,
,,,,4:10pm-6:00pm,,Lewisohn Hall,62780,BUSINESS OF ISSUES Section 001,Communication PS5245,508
,,,,6:10pm-8:00pm,,Lewisohn Hall,61279,INTERNSHIP IN COMMUNICATIONS Section 001,Communications Practice\t PS5500,505
,,,10:10am-11:25am,10:10am-11:25am,,Milbank Hall (Barnard),3201,THE VISUAL & VERBAL ARTS Section 001,Comparative Literature UN3200,501
,10:10am-11:25am,,,,10:10am-11:25am,Milbank Hall (Barnard),4528,UTOPIAN LITERATURE Section 001,Comparative Literature and Society BC3124,207
,,,11:40am-12:55pm,11:40am-12:55pm,,Milbank Hall (Barnard),1672,LITERATURE & VIOLENCE Section 001,Comparative Literature and Society BC3143,324
,11:40am-12:55pm,,,,11:40am-12:55pm,Altschul Hall (Barnard),8723,LANGUAGES OF LOSS Section 001,Comparative Literature and Society BC3158,903
,,,4:10pm-5:25pm,4:10pm-5:25pm,,Casa Hisp&aacute;nica,87799,CARTOGRAPHIC FICTIONS Section 001,Comparative Literature and Society UN3354,302
,,,,,4:10pm-6:00pm,Milbank Hall (Barnard),3116,ADVANCED WORKSHOP TRANSLATION Section 001,Comparative Literature and Society BC3510,207
,,,,,4:10pm-6:00pm,Barnard Hall,8076,ADVANCED WORKSHOP TRANSLATION Section 002,Comparative Literature and Society BC3510,404
,,,1:10pm-2:25pm,1:10pm-2:25pm,,Pupin Laboratories,67208,INTRODUCTION TO DIGITAL MEDIA Section 001,Comparative Literature and Society UN3770,412
,2:10pm-4:00pm,,,,,Fayerweather,29781,INTRO TO ICLS Section 001,Comparative Literature and Society UN3900,302
,,,,4:10pm-6:00pm,,Milbank Hall (Barnard),1193,COLLOQUIUM IN LITERARY THEORY Section 001,Comparative Literature and Society UN3950,327
,,,,,2:10pm-4:00pm,80 Claremont Ave,64707,THE GLOBAL AND THE UNIVERSAL Section 001,Comparative Literature and Society UN3977,201
,,,,10:10am-12:00pm,,Fayerweather,21635,SENIOR SEM-COMP LIT & SOCIETY Section 001,Comparative Literature and Society UN3991,311
,,,,,,,73530,SENIOR THESIS IN COMP LIT/SOC Section 001,Comparative Literature and Society UN3995,
,,,,,2:10pm-4:00pm,Barnard Hall,8889,SENIOR SEMINAR IN COMP LIT Section 001,Comparative Literature and Society BC3997,404
,2:10pm-4:00pm,,,,,Hamilton Hall,81530,WORLD PHILOLOGY Section 001,Comparative Literature and Society GU4111,509
,,,,,12:10pm-2:00pm,Lewisohn Hall,19298,"NARRATIVE,HEALTH & SOC JUSTICE Section 001",Comparative Literature and Society GU4220,610
,,,,12:10pm-2:00pm,,Heyman Center for the Humanities (East Campus),18051,"DEATH PENALTY IN PHIL, LIT & FILM Section 001",Comparative Literature and Society GU4710,B-100
11:00am-1:00pm,,,,,,Avery Hall,88549,CONFLICT URBANISM Section 001,Comparative Literature and Society GU4890,WARE
,2:10pm-4:00pm,,,,,80 Claremont Ave,28978,INTRO TO COMP LIT & SOCIETY Section 001,Comparative Literature and Society GR6100,201
,4:10pm-6:00pm,,,,,Hamilton Hall,88281,RUSS REVOLUTION TO LEGACIES OF BANDUNG Section 001,Comparative Literature and Society GR6310,707
,,,,,2:10pm-4:00pm,Hamilton Hall,16152,MICROLITERATURES Section 001,Comparative Literature and Society GR6335,402
,2:10pm-4:00pm,,,,2:10pm-4:00pm,Heyman Center for the Humanities (East Campus),77397,DARK CORE EUROPEAN CIVILIATION Section 001,Comparative Literature and Society GR6667,B-100
,,,,2:10pm-4:00pm,,Kent Hall,1537,CRITICAL TRANSLATION THEORY Section 001,Comparative Literature and Society GR8020,522A
,,,,,2:10pm-4:00pm,Schermerhorn Hall [SCH],69257,ART/THEORY IN A GLOBAL Section 001,Comparative Literature and Society 88432,934
,,,,,,,69254,S CONTEMPORARY CRITICAL T Section 001,Comparative Literature and Society 88866,
,,,6:15pm-8:45pm,,,Hamilton Hall,27447,S CONTEMP CRITICAL THOUGHT Section 001,Comparative Literature and Society GR8867,407
,2:10pm-4:00pm,,,,,Schermerhorn Hall [SCH],17997,BASIC CONCEPTS-POST-FREUD THGT Section 001,Comparative Literature and Society & PSCC GU4201,951
,,,,,6:10pm-8:00pm,Hamilton Hall,15969,LAPLANCHE Section 001,Comparative Literature and Society & PSCC GU4210,313
,,,,4:10pm-6:00pm,,Heyman Center for the Humanities (East Campus),86099,AFT LING TURN-CRIT THRY/MAT/DOM NATURE Section 001,Comparative Literature and Society & PSCC GU4334,B-100
,,,2:40pm-3:55pm,2:40pm-3:55pm,,Hamilton Hall,12870,PRAGUE-SPRING 1968-FILM & LIT Section 001,Comparative Literature: Czech GU4038,613
,,,,,10:10am-12:00pm,Philosophy Hall,24056,COMPARATIVE LITERATURE SEMINAR Section 001,Comparative Literature: English UN3792,612
,12:10pm-2:00pm,,,,,Philosophy Hall,21647,POETIC MODERNISM Section 001,Comparative Literature: English UN3906,612
,10:10am-11:25am,,,,10:10am-11:25am,Hamilton Hall,13597,THE RENAISSANCE IN EUROPE II Section 001,Comparative Literature: English GU4122,602
,6:10pm-7:25pm,,,,6:10pm-7:25pm,Hamilton Hall,87698,PLAGIARISM AND POST COLONIAL Section 001,Comparative Literature: English GU4564,703
,,,,2:10pm-4:00pm,,Philosophy Hall,73497,LITERATURE & POLITICS Section 001,Comparative Literature: English GR6300,612
,,,,,4:10pm-6:00pm,EXT Schermerhorn Hall [SCH],22799,VOICE OF THE WITNESS Section 001,Comparative Literature: English GR6550,754
,,,,2:10pm-4:00pm,,EXT Schermerhorn Hall [SCH],72549,QUEER THEORY & NEW MATERIALISMS Section 001,Comparative Literature: English GR6564,754
,,,,4:10pm-6:00pm,,Philosophy Hall,68047,THE NATURE OF IMPERIALISM Section 001,Comparative Literature: English GR6908,612
,,,4:10pm-5:25pm,4:10pm-5:25pm,,Hamilton Hall,23167,AESTH UNDR SIEGE-FRKFT SCH-ENG Section 001,Comparative Literature: German GU4207,702
,,,,2:10pm-4:00pm,,Fayerweather,61700,FAUST (ENG) Section 001,Comparative Literature: German GU4360,301M
,,,,,2:10pm-4:00pm,Hamilton Hall,27691,POLITICS OF DRAMATIC FORM(GER) Section 001,Comparative Literature: German GR6750,509
,,,,,6:10pm-10:00pm,Milbank Hall (Barnard),1188,MAFIA MOVIES Section 001,Comparative Literature: Italian GU3660,328
,4:10pm-6:00pm,,,,,Hamilton Hall,26303,MEDITERRANEAN IN HISTORY & ANTHRPOLOGY Section 001,Comparative Literature: Italian GU4700,613
,,,,,6:10pm-10:00pm,be announced,6372,MAFIA MOVIES Section 001,Comparative Literature: Italian GR6999,To
,,,,12:10pm-2:00pm,,Pupin Laboratories,90949,INTRO MODERN HEBREW LIT Section 001,Comparative Literature: Middle East UN1520,307
,,,,,4:10pm-6:00pm,Knox Hall,64506,COLD WAR ARAB CULTURE Section 001,Comparative Literature: Middle East GU4231,207
,,,2:10pm-4:00pm,,,Knox Hall,68688,SUFISM: PRIMARY TEXTS/CONTEXTS Section 001,Comparative Literature: Middle East GU4241,207
,12:10pm-2:00pm,,,,,80 Claremont Ave,61601,MOD & MED ISLAMIC POLIT THGHT Section 001,Comparative Literature: Middle East GU4764,C01
,4:10pm-5:25pm,,,,4:10pm-5:25pm,Hamilton Hall,80796,LITERARY PLAYGROUNDS Section 001,Comparative Literature: Russian UN3307,315
,,,11:40am-12:55pm,11:40am-12:55pm,,Hamilton Hall,28351,RUSSIAN LITERATURE: A TRAVEL GUIDE Section 001,Comparative Literature: Russian UN3308,408
,,,10:10am-11:25am,10:10am-11:25am,,Hamilton Hall,83546,NABOKOV & GLOBAL CULTURE Section 001,Comparative Literature: Russian GU4036,402
,2:10pm-4:00pm,,,,,Hamilton Hall,97098,THE RUSSIAN AMERICAN EXPERIENCE Section 001,Comparative Literature: Russian GU4037,511
,4:10pm-6:00pm,,,,,Hamilton Hall,81948,STUDIES IN THE 19TH CENT NOVEL Section 001,Comparative Literature: Russian GR6132,609
,,,,,,,28047,DIRECTED RESEARCH 19TH CENTURY Section 001,Comparative Literature: Russian GR8036,
,,,6:10pm-7:25pm,6:10pm-7:25pm,,Hamilton Hall,22296,CENT EUR DRAMA IN THE 20TH C Section 001,Comparative Literature: Slavic GU4003,613
